senderUpi,receiverUpi,amount,timestamp,description,merchantName,city
user1@upi,merchant@upi,5000,2025-12-05T10:30:00Z,Online purchase,Amazon,Delhi
user2@upi,unknown@upi,50000,2025-12-05T10:35:00Z,Refund verification,Support Team,Mumbai
user3@upi,delivery@upi,299,2025-12-05T10:40:00Z,Delivery payment,Flipkart,Bangalore
user4@upi,scammer@upi,25000,2025-12-05T10:45:00Z,Urgent cash need,Emergency,Pune
user5@upi,bank@upi,100,2025-12-05T10:50:00Z,Verification payment,RBI Verification,Hyderabad
user6@upi,seller@upi,12000,2025-12-05T10:55:00Z,Property booking,Real Estate,Chennai
user7@upi,rent@upi,15000,2025-12-05T11:00:00Z,Rent payment,Landlord,Kolkata
user8@upi,job@upi,5000,2025-12-05T11:05:00Z,Training fee,Online Jobs,Pune
user9@upi,normal@upi,2500,2025-12-05T11:10:00Z,Coffee shop,Local Cafe,Delhi
user10@upi,fraud@upi,100000,2025-12-05T11:15:00Z,Investment opportunity,Crypto,Mumbai
user11@upi,merchant@upi,3500,2025-12-05T11:20:00Z,Grocery shopping,BigBasket,Delhi
user12@upi,unknown@upi,75000,2025-12-05T11:25:00Z,OTP verification required,Bank Support,Mumbai
user13@upi,delivery@upi,450,2025-12-05T11:30:00Z,Food delivery,Zomato,Bangalore
user14@upi,scammer@upi,35000,2025-12-05T11:35:00Z,Urgent help needed,Emergency Fund,Pune
user15@upi,bank@upi,250,2025-12-05T11:40:00Z,KYC verification,Government,Hyderabad
user16@upi,seller@upi,18000,2025-12-05T11:45:00Z,Car booking,OLX Motors,Chennai
user17@upi,rent@upi,20000,2025-12-05T11:50:00Z,Monthly rent,Landlord,Kolkata
user18@upi,job@upi,8000,2025-12-05T11:55:00Z,Work from home training,Online Academy,Pune
user19@upi,normal@upi,1200,2025-12-05T12:00:00Z,Restaurant bill,Taj Hotel,Delhi
user20@upi,fraud@upi,150000,2025-12-05T12:05:00Z,Lottery prize claim,Lucky Draw,Mumbai
user21@upi,merchant@upi,6500,2025-12-05T12:10:00Z,Electronics purchase,Croma,Delhi
user22@upi,unknown@upi,55000,2025-12-05T12:15:00Z,Aadhar verification,Government Portal,Mumbai
user23@upi,delivery@upi,599,2025-12-05T12:20:00Z,Package delivery,Swiggy,Bangalore
user24@upi,scammer@upi,45000,2025-12-05T12:25:00Z,Medical emergency,Hospital,Pune
user25@upi,bank@upi,500,2025-12-05T12:30:00Z,PAN verification,Tax Department,Hyderabad
user26@upi,seller@upi,22000,2025-12-05T12:35:00Z,Jewelry purchase,Tanishq,Chennai
user27@upi,rent@upi,25000,2025-12-05T12:40:00Z,Rent deposit,Landlord,Kolkata
user28@upi,job@upi,12000,2025-12-05T12:45:00Z,Certification course fee,Udemy,Pune
user29@upi,normal@upi,3200,2025-12-05T12:50:00Z,Movie tickets,BookMyShow,Delhi
user30@upi,fraud@upi,200000,2025-12-05T12:55:00Z,Business investment,Startup Fund,Mumbai
user31@upi,merchant@upi,4200,2025-12-05T13:00:00Z,Clothing purchase,Myntra,Delhi
user32@upi,unknown@upi,65000,2025-12-05T13:05:00Z,Processing fee payment,Bank,Mumbai
user33@upi,delivery@upi,750,2025-12-05T13:10:00Z,Courier service,DHL,Bangalore
user34@upi,scammer@upi,55000,2025-12-05T13:15:00Z,Accident assistance,Police,Pune
